Structure,AM_mean,ESM_mean,count
Alpha helix,0.5596579999999999,0.5597397999999999,500
Disorded,0.4312445843828715,0.4300619647355164,397
Turn,0.48260875,0.51069625,80
Strand,0.6989081081081081,0.7437243243243243,74
Bend,0.548775,0.6038711538461539,52
Helix-3,0.4734,0.41052380952380957,21
κ‐helix,0.49346499999999993,0.45856,20
Beta bridge,0.7186199999999999,0.8396399999999999,5
Helix-5,0.6361600000000001,0.6486,5
